sample	stage	sequencing_round	parents	f1	cross_type	species	location	m_unique	p_unique	mean_caudal_lightness	mean_jaw_length	mean_nose_length	mean_nose_height	lake
ORT1	48hpf	2	oyster_generalist	OYSA	p	a	ss	a	a	120.775	0.048578561	-0.085058526	-0.116554777	Oyster Lake
ORT2	48hpf	2	oyster_generalist	OYSA	p	a	ss	a	a	120.775	0.048578561	-0.085058526	-0.116554777	Oyster Lake
ORT3	48hpf	2	oyster_generalist	OYSA	p	a	ss	a	a	120.775	0.048578561	-0.085058526	-0.116554777	Oyster Lake
CPU1	8dpf	3	crescent_pond_generalist_female_x_crescent_pond_snail_eater_male	CAxCM	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CPU3	8dpf	3	crescent_pond_generalist_female_x_crescent_pond_snail_eater_male	CAxCM	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CPU5	8dpf	3	crescent_pond_generalist_female_x_crescent_pond_snail_eater_male	CAxCM	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CUT1	48hpf	3	crescent_pond_generalist_female_x_crescent_pond_snail_eater_male	CAxCM	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CUT2	48hpf	3	crescent_pond_generalist_female_x_crescent_pond_snail_eater_male	CAxCM	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CUT3	48hpf	3	crescent_pond_generalist_female_x_crescent_pond_snail_eater_male	CAxCM	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CVE1	8dpf	3	crescent_pond_generalist_female_x_crescent_pond_scale_eater_male	CAxCP	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CVE2	8dpf	3	crescent_pond_generalist_female_x_crescent_pond_scale_eater_male	CAxCP	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CVE5	8dpf	3	crescent_pond_generalist_female_x_crescent_pond_scale_eater_male	CAxCP	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CVT1	48hpf	2	crescent_pond_generalist_female_x_crescent_pond_scale_eater_male	CAxCP	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CVT2	48hpf	2	crescent_pond_generalist_female_x_crescent_pond_scale_eater_male	CAxCP	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CVT3	48hpf	2	crescent_pond_generalist_female_x_crescent_pond_scale_eater_male	CAxCP	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CWE2	8dpf	3	crescent_pond_snail_eater_female_x_crescent_pond_scale_eater_male	CMxCP	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CWE3	8dpf	3	crescent_pond_snail_eater_female_x_crescent_pond_scale_eater_male	CMxCP	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CWE4	8dpf	3	crescent_pond_snail_eater_female_x_crescent_pond_scale_eater_male	CMxCP	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CWT1	48hpf	2	crescent_pond_snail_eater_female_x_crescent_pond_scale_eater_male	CMxCP	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CWT2	48hpf	2	crescent_pond_snail_eater_female_x_crescent_pond_scale_eater_male	CMxCP	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CWT3	48hpf	2	crescent_pond_snail_eater_female_x_crescent_pond_scale_eater_male	CMxCP	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CXE2	8dpf	3	crescent_pond_snail_eater_female_x_crescent_pond_generalist_male	CMxCA	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CXE3	8dpf	3	crescent_pond_snail_eater_female_x_crescent_pond_generalist_male	CMxCA	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CXE4	8dpf	3	crescent_pond_snail_eater_female_x_crescent_pond_generalist_male	CMxCA	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CXT1	48hpf	2	crescent_pond_snail_eater_female_x_crescent_pond_generalist_male	CMxCA	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CXT2	48hpf	2	crescent_pond_snail_eater_female_x_crescent_pond_generalist_male	CMxCA	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
CXT3	48hpf	2	crescent_pond_snail_eater_female_x_crescent_pond_generalist_male	CMxCA	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LFE2	8dpf	3	crescent_pond_generalist_female_x_osprey_generalist_male	CAxOA	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LFE3	8dpf	3	crescent_pond_generalist_female_x_osprey_generalist_male	CAxOA	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LFE4	8dpf	3	crescent_pond_generalist_female_x_osprey_generalist_male	CAxOA	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LFT1	48hpf	2	crescent_pond_generalist_female_x_osprey_generalist_male	CAxOA	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LFT2	48hpf	2	crescent_pond_generalist_female_x_osprey_generalist_male	CAxOA	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LFT3	48hpf	2	crescent_pond_generalist_female_x_osprey_generalist_male	CAxOA	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LGE3	8dpf	3	crescent_pond_snail_eater_female_x_osprey_snail_eater_male	CMxOM	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LGE4	8dpf	3	crescent_pond_snail_eater_female_x_osprey_snail_eater_male	CMxOM	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LGE5	8dpf	3	crescent_pond_snail_eater_female_x_osprey_snail_eater_male	CMxOM	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LGT1	48hpf	3	crescent_pond_snail_eater_x_osprey_snail_eater_male	CMxOM	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LGT2	48hpf	3	crescent_pond_snail_eater_x_osprey_snail_eater_male	CMxOM	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LGT3	48hpf	3	crescent_pond_snail_eater_x_osprey_snail_eater_male	CMxOM	h	h	ss	h	h	NA	NA	NA	NA	Crescent Pond
LIE2	8dpf	3	osprey_generalist_female_x_crescent_pond_generalist_male	OAxCA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
LIE3	8dpf	3	osprey_generalist_female_x_crescent_pond_generalist_male	OAxCA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
LIE5	8dpf	3	osprey_generalist_female_x_crescent_pond_generalist_male	OAxCA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
LIT1	48hpf	2	osprey_generalist_female_x_crescent_pond_generalist_male	OAxCA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
LIT2	48hpf	2	osprey_generalist_female_x_crescent_pond_generalist_male	OAxCA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
LIT3	48hpf	2	osprey_generalist_female_x_crescent_pond_generalist_male	OAxCA	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
LKE1	8dpf	3	osprey_scale_eater_female_x_crescent_pond_scale_eater_male	OPxCP	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
LKE2	8dpf	3	osprey_scale_eater_female_x_crescent_pond_scale_eater_male	OPxCP	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
LKE3	8dpf	3	osprey_scale_eater_female_x_crescent_pond_scale_eater_male	OPxCP	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
LKT1	48hpf	3	osprey_scale_eater_female_x_crescent_pond_scale_eater	OPxCP	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
LKT2	48hpf	3	osprey_scale_eater_female_x_crescent_pond_scale_eater	OPxCP	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
LKT3	48hpf	3	osprey_scale_eater_female_x_crescent_pond_scale_eater	OPxCP	h	h	ss	h	h	NA	NA	NA	NA	Osprey Lake
NAE1	8dpf	3	north_carolina_female_x_crescent_pond_generalist_male	NAxCA	h	h	h	h	h	NA	NA	NA	NA	NA
NAE2	8dpf	3	north_carolina_female_x_crescent_pond_generalist_male	NAxCA	h	h	h	h	h	NA	NA	NA	NA	NA
NAE4	8dpf	3	north_carolina_female_x_crescent_pond_generalist_male	NAxCA	h	h	h	h	h	NA	NA	NA	NA	NA
