baseMean_mp LFC_mp padj_mp Geneid baseMean_mph LFC_mph padj_mph baseMean_mh LFC_mh padj_mh baseMean_ph LFC_ph padj_ph
6043.95306877081 1.99665305254682 0.00000000000000000000000000303933342291826 tcaf 5880.856235083 0.135316482963511 0.982199839489252 4053.61752546938 -1.18613149656441 0.00000123489975182032 7507.59010528539 0.809846313457881 0.0000381178812237532
308.177953085038 2.25355096960745 0.0000000000000000000000497168734865299 SERPINA3 267.658820327485 0.739055122748395 0.746609113401696 148.963808563463 -0.795934040849687 0.11529281681916 343.590351968046 1.45671937291436 0.0000513635016534998
170.51477318726 1.01788284988594 0.0000000000000000000501895396860071 AADAT 172.159516243952 -0.032472915663215 0.993427873805141 146.512331708023 -0.639146744843393 0.000328543432666707 199.215102740179 0.377179244297412 0.0220055848675972
285.797084266059 1.27383989247888 0.0000000000000000000588858498198216 igfbp2a 315.975923710086 -0.389277416700914 0.76240708260611 276.571661046667 -1.16613541790776 0.00000884502031116976 385.248150537193 0.103060256045097 0.823360765805135
157.016545576341 -1.8228596883469 0.00000000000000163100030289055 SAMD9L 146.345879275618 0.348626547982395 0.91211301036269 188.323390660416 0.993731390877337 0.0100795834812628 95.3989444353825 -0.83014837701297 0.00963170535474142
1290.40578437472 -0.729723811695173 0.00000000000000178691165542813 DPP3 1279.62509339993 0.0497006814400466 0.986162689803828 1459.90011815186 0.365107082874545 0.127948767255266 1098.1764878724 -0.36517962575147 0.0258381724438664
776.290968381947 -0.969098404435529 0.00000000000000226301343348263 Myg1 760.528811736612 0.105109270511261 0.958167698231016 894.401086140903 0.504802338417435 0.00880606550591422 617.201387981944 -0.465182646959864 0.00873698898232126
90.6610508585345 1.59519497971241 0.00000000000000328634973305706 CSAD 103.858460237863 -0.513019765124471 0.723190527796924 89.2562585167167 -1.51483755029409 0.000000000000000442173032821221 131.48974114339 0.077293102799686 0.855802606107463
383.053118730083 2.43411440474282 0.0000000000000384180756465875 RRM2B 311.963946337851 1.19613575384309 0.648645218888528 146.764794750011 -0.48822492875346 0.939755731744581 402.42735172678 1.94931073798864 0.0101813357039135
264.090771132129 1.61460041170318 0.000000000000221698200296875 acy3.2 252.501279327118 0.216869722383705 0.946539626608872 182.540242328304 -0.808869655987779 0.00320088524191184 309.574080140824 0.804484255029757 0.00235478296743195
43.2829702989341 1.52485984246156 0.000000000000769416321105919 ARSI 39.4985311425232 0.469354576323708 0.752689435896398 27.5015367673042 -0.458409422890901 0.623311998173758 47.4873698300016 1.07646091200751 0.0000513635016534998
27.5854021515277 -2.60522168490259 0.00000000000160164177876316 YJEFN3 29.5402388103868 -0.2510734438606 0.972708560766378 41.3164259765787 0.571405829334402 0.690011689257257 20.1609136924283 -2.07986102725236 0.000992493290325929
87.274209069094 -2.30666036448235 0.00000000000160164177876316 DNAH11 98.4621596460426 -0.45554285177353 0.910058502082867 135.590179643078 0.287025253196665 0.943578245514472 73.9219250937383 -2.02333763299056 0.0000093645582081246
22.4397157933625 3.69687757254462 0.00000000000329537030105567 nachra9 18.9864301524916 0.888496115969326 0.834405922847233 7.72234669458019 -1.96381893051865 0.0916460745416311 26.5215072977063 1.71931343220173 0.00450144742256928
42.6153145573401 2.02421593376772 0.00000000000336624728007124 Mr1 44.2460010584938 -0.158849442939134 0.978004386235489 32.624704303238 -1.52043349097423 0.0114018100966958 57.2856002368924 0.503559904954775 0.325907140047624
460.432551121902 2.20731653673554 0.00000000000336624728007124 msrb2 421.523337314011 0.43644135049451 0.914598284685697 257.672506853984 -1.06122131553413 0.270008059989811 543.010337401992 1.14912947422068 0.0517041857071455
13.0112800190112 6.693795691618 0.0000000000150373256208793 Ggt1 11.2167607574315 0.79628486783111 0.926698426227047 3.94989085446288 -4.87469844238304 0.000992490946707531 16.5157224830403 1.88375434139197 0.0000513635016534998
62.9723576237278 -2.97836552334068 0.0000000000201881435416667 asic1b 64.6662285818767 -0.0898104395824504 0.993577424018406 91.6530362022741 0.745166218944491 0.509774529468768 40.3294669992669 -2.20953952827369 0.000000000026027917542241
244.633067557746 0.716031165179409 0.000000000249399255467296 PDE6D 244.475004155987 0.0131013413276464 0.995059952305389 218.044800221218 -0.393317214936117 0.128836253117548 270.663270753059 0.323285097176117 0.0940909218396709
110.379424518885 1.29344514814252 0.000000000372243484239514 DNAJA3 100.839280858091 0.444615680981733 0.735926513217114 74.0607772375692 -0.348821361551345 0.714963694110616 117.641860612513 0.94541860656809 0.00111696065638308
1447.46217285704 0.905801540219545 0.000000000749408872893699 pno1 1451.92157183298 -0.000329933377213955 0.999688217696716 1254.908335145 -0.525778283604667 0.0232517225168914 1651.82401134435 0.37909575601504 0.0472287938947577
92.629837986328 1.00834059694975 0.000000000935777391213449 Neil1 94.4424031697709 -0.0671722273931114 0.986612602820053 81.1516074870444 -0.660697576877081 0.243902732772083 109.452631654461 0.353489935290558 0.397164457121902
72.4764293971004 2.92162092410372 0.00000000124336548910731 Cxadr 68.3942025286489 0.28063618591276 0.975129982094125 39.1500798525331 -1.81648235169336 0.0411748575781248 92.9634090006022 1.09943038635686 0.204731649144837
132.624315686778 0.894311047040542 0.00000000151323193108199 Cant1 137.552869935647 -0.149945667679332 0.931906910034183 122.124336622502 -0.673580507898716 0.0885937117521493 157.854293545063 0.218574648396797 0.533710607597032
161.759561564081 -1.62778835516535 0.00000000435657931298141 clip3 164.598519410036 -0.0588889858911113 0.993577424018406 211.26517261119 0.538353263577987 0.866178788303654 122.634186748683 -1.09305763338537 0.0452228369895527
